"id","budget","original_language","popularity","release_date","revenue","status","vote_average","vote_count"
7350,45000000,"en",31.305336,2007-12-25,175372502,"Released",7,1111
9869,45000000,"en",19.637704,1992-06-04,178051587,"Released",6.3,433
4379,43000000,"en",10.411996,2005-05-13,154749918,"Released",5.6,406
146233,46000000,"en",88.496873,2013-09-18,122126687,"Released",7.9,3085
2034,45000000,"en",52.081131,2001-10-05,104876233,"Released",7.3,1634
926,45000000,"en",30.816341,1999-12-23,90683916,"Released",6.9,710
4248,45000000,"en",35.376971,2001-07-04,141220678,"Released",5.4,982
64328,45000000,"en",17.047276,2011-11-22,165184237,"Released",6.5,501
36647,45000000,"en",43.815492,1998-08-21,131183530,"Released",6.5,1905
7214,30000000,"en",23.234651,2005-01-14,76669806,"Released",7.3,496
1537,45000000,"en",17.270539,2002-04-07,94935764,"Released",5.9,299
9360,45000000,"en",27.684779,1997-04-11,136885767,"Released",4.7,610
6282,45000000,"en",26.79781,2000-07-30,113916474,"Released",5.8,575
508,40000000,"en",37.073127,2003-09-07,244931766,"Released",7,1869
9487,120000000,"en",87.350802,1998-11-25,363258859,"Released",6.8,2303
768,35000000,"en",26.134678,2001-10-19,74558115,"Released",6.6,741
2636,45000000,"en",16.582709,1994-10-07,170362582,"Released",5.5,313
10478,45000000,"en",10.731574,1996-08-16,53854588,"Released",5.9,150
27983,0,"en",2.094151,1968-04-24,0,"Released",6.2,26
9981,45000000,"en",8.99269,2005-05-13,56070433,"Released",5.6,176
7453,50000000,"en",51.742065,2005-01-15,104478416,"Released",6.6,1315
15045,0,"en",7.157635,2004-12-12,0,"Released",4.3,69
7737,45000000,"en",12.06538,2007-09-20,148412065,"Released",6.1,1292
232672,40000000,"en",44.120328,2014-05-21,123494610,"Released",6.6,1006
17379,45000000,"en",6.156015,2006-01-13,38399961,"Released",6.4,119
8987,45000000,"en",12.362876,1994-09-30,0,"Released",6.1,210
11359,45000000,"en",11.095914,1995-07-14,0,"Released",5.9,134
82525,45000000,"en",31.856589,2012-07-06,82966152,"Released",6.2,766
9759,25000000,"en",24.459948,2004-09-06,56422687,"Released",6.1,537
9486,40000000,"en",28.029015,2003-04-06,160583018,"Released",6,852
9906,50000000,"en",20.239061,2006-07-27,55181129,"Released",5.5,366
841,40000000,"en",25.876582,1984-12-14,30925690,"Released",6.5,562
4688,0,"en",11.872841,2007-09-14,0,"Released",7.1,410
4148,35000000,"en",20.360549,2008-12-19,75225693,"Released",6.7,796
2207,55000000,"en",32.31022,2006-03-01,65664721,"Released",6.2,661
9381,70000000,"en",27.568194,2008-08-20,72108608,"Released",5.4,676
9625,45000000,"en",6.250282,1996-10-04,0,"Released",4.7,100
9304,45000000,"en",11.120344,1996-07-19,0,"Released",5.5,154
20856,45000000,"en",13.707183,2009-07-31,57881056,"Released",5.3,244
5955,35000000,"en",12.495436,2001-01-09,29400000,"Released",6.5,215
9899,45000000,"en",6.803965,2005-12-25,38058335,"Released",6.1,151
9826,45000000,"en",9.025236,1996-06-06,17300889,"Released",4.7,136
21355,57000000,"en",7.524671,2000-12-11,0,"Released",5.8,60
10858,44000000,"en",3.770161,1995-12-22,13681765,"Released",7.1,71
11439,45000000,"en",21.118196,2010-02-12,60222298,"Released",6.7,670
9457,45000000,"en",6.513856,1998-01-30,11203026,"Released",6,154
12412,45000000,"en",11.387408,2008-09-15,9323833,"Released",6.3,90
1494,110,"zh",9.950505,2006-12-21,0,"Released",6.6,203
13184,45000000,"en",14.813057,2008-08-21,42487390,"Released",5,332
2185,40000000,"en",5.201688,2002-04-05,8493890,"Released",6.3,80
6639,45000000,"en",5.361699,2007-10-04,4607608,"Released",6.4,81
38153,45000000,"en",3.848893,1997-01-31,2154540,"Released",4,11
58233,45000000,"en",35.6585,2011-09-15,160078586,"Released",6,1007
116977,65000000,"en",5.258726,2012-06-15,73706,"Released",2.3,28
68734,44500000,"en",62.01056,2012-10-11,232324128,"Released",7.1,3423
5503,44000000,"en",54.884297,1993-08-06,368875760,"Released",7.2,1220
27573,40000000,"en",33.747825,2010-03-16,1.36e+08,"Released",5.5,858
819,44000000,"en",16.245068,1996-10-18,165615285,"Released",7.3,715
1369,44000000,"en",38.653969,1985-05-21,300400432,"Released",6.3,864
9623,44000000,"en",3.937352,1996-02-02,0,"Released",5.5,89
10895,2600000,"en",46.007991,1940-02-23,84300000,"Released",6.9,1355
10935,44000000,"en",5.380124,1980-11-19,3484331,"Released",6.4,55
834,50000000,"en",49.020045,2006-01-12,111340801,"Released",6.4,1528
228066,40000000,"en",24.821138,2015-11-10,34227298,"Released",5.6,685
711,43000000,"en",19.043286,2000-12-21,80049764,"Released",7,302
10468,43000000,"en",5.418921,2000-04-06,0,"Released",6,208
10027,45000000,"en",25.999888,2005-02-02,50871113,"Released",6.6,518
11812,43000000,"en",18.65632,2002-04-12,68696770,"Released",5.3,280
37233,42000000,"en",23.736535,1993-06-30,270248367,"Released",6.6,501
37950,44000000,"en",21.75433,2010-05-01,48190704,"Released",6.8,566
27582,40000000,"en",44.094856,2011-01-13,51070807,"Released",6.3,1045
64688,42000000,"en",62.714026,2012-03-12,201585328,"Released",6.7,4074
509,42000000,"en",28.969151,1999-05-13,363889678,"Released",7,1262
7443,45000000,"en",31.789029,2000-06-21,224834564,"Released",6.5,1150
5966,42000000,"en",33.238296,2004-01-16,171963386,"Released",5.8,773
11066,40000000,"en",6.420434,1992-06-30,70100000,"Released",5.4,134
136795,43000000,"en",37.654688,2013-06-27,158674180,"Released",6.5,1575
8095,31115000,"en",13.244365,1963-06-12,7.1e+07,"Released",6.7,146
87826,0,"en",26.799913,2012-10-11,73100172,"Released",6,593
11560,42000000,"en",14.046705,2002-04-03,63781810,"Released",6.1,184
25189,42000000,"en",3.844926,1996-11-15,0,"Released",6.5,47
2637,32000000,"en",14.733513,2002-01-25,55157539,"Released",6.1,305
18480,42000000,"en",16.122168,2009-07-08,0,"Released",5.4,518
709,32000000,"en",28.22119,1989-07-07,156167015,"Released",5.9,541
49730,42000000,"en",45.151657,2011-03-11,89162162,"Released",5.6,922
2749,60000000,"en",15.205371,2001-03-01,56359980,"Released",5.7,191
9607,48000000,"en",14.587367,1993-05-28,20915465,"Released",4,232
1830,42000000,"en",34.828241,2005-09-16,24127895,"Released",7,1335
79,31000000,"zh",23.607392,2002-12-19,177394432,"Released",7.2,635
54054,40000000,"en",19.438503,2012-01-26,36893721,"Released",5.3,388
228967,44000000,"en",74.168016,2014-12-25,12342632,"Released",6.1,2304
46528,42000000,"en",7.349497,2010-12-02,11087569,"Released",6.3,136
27936,33000000,"fr",7.663515,2009-10-28,1.4e+07,"Released",6.8,148
65,41000000,"en",32.798571,2002-11-08,2.15e+08,"Released",6.8,1626
280391,0,"fr",5.794466,2015-04-08,0,"Released",5.3,125
9476,65000000,"en",36.670399,2001-05-11,117487473,"Released",6.6,907
10610,41000000,"en",14.653718,2003-08-15,0,"Released",5.3,281
745,40000000,"en",73.085576,1999-08-06,672806292,"Released",7.7,3147
49527,42000000,"en",34.041407,2012-01-13,46221189,"Released",6.2,925
73937,41000000,"en",9.419726,2011-10-13,7448385,"Released",5.6,248
1885,8000000,"en",28.456572,1984-06-22,90815558,"Released",6.9,891
168672,40000000,"en",49.664128,2013-12-12,251171807,"Released",6.8,2807
18240,40000000,"en",36.238968,2009-06-01,317375031,"Released",6.7,1804
10398,70000000,"en",19.439386,1999-09-24,177841558,"Released",6.2,278
165,40000000,"en",43.345252,1989-11-20,3.32e+08,"Released",7.4,3829
240832,40000000,"en",115.241998,2014-07-14,126546825,"Released",6.3,5878
216015,40000000,"en",98.755657,2015-02-11,571006128,"Released",5.2,3254
12279,38000000,"en",21.998734,2003-07-25,197011982,"Released",4.7,511
1645,40000000,"en",25.219805,1996-07-24,152266007,"Released",7,509
11007,40000000,"en",26.516624,2003-12-24,190212113,"Released",6,699
193756,40000000,"en",37.084384,2013-12-24,149295601,"Released",7.4,1526
11287,40000000,"en",21.661028,1992-07-01,107458785,"Released",6.7,354
259693,40000000,"en",68.794673,2016-05-13,320170008,"Released",7,1949
37799,40000000,"en",69.27822,2010-09-30,224920315,"Released",7.1,3391
10184,40000000,"en",26.253357,2009-02-06,177259441,"Released",6.2,959
4257,45000000,"en",32.549282,2006-04-13,178262620,"Released",5.3,750
4234,40000000,"en",24.992057,2000-02-03,161834276,"Released",5.7,736
196,40000000,"en",45.769562,1990-05-25,244527583,"Released",7.1,2900
257091,40000000,"en",36.301202,2015-03-26,111811453,"Released",5.9,944
6114,40000000,"en",45.022964,1992-11-13,215862692,"Released",7.1,1056
24803,40000000,"en",22.853006,2009-08-06,129540499,"Released",6.6,560
109410,40000000,"en",31.884559,2013-04-12,95020213,"Released",6.8,787
1213,40000000,"en",31.385257,1999-12-25,128798265,"Released",7,767
100042,40000000,"en",67.767785,2014-11-12,169837010,"Released",5.4,1127
9036,40000000,"en",24.287306,2006-02-17,120455994,"Released",6.7,542
257211,35000000,"en",53.114573,2015-09-24,194564672,"Released",7.1,1881
323675,40000000,"en",25.136082,2016-01-14,124827316,"Released",6.1,555
9361,40000000,"en",37.776566,1992-09-25,75505856,"Released",7.1,732
1677,40000000,"en",21.743321,2004-10-29,124731534,"Released",7.2,467
187,40000000,"en",66.003433,2005-04-01,158733820,"Released",7.2,2691
7461,40000000,"en",24.862767,2008-02-01,151161491,"Released",6.2,716
16538,41000000,"en",25.391899,2009-03-20,91636986,"Released",6.5,515
9889,40000000,"en",29.854773,2001-11-01,141069860,"Released",5.7,731
820,40000000,"en",26.82041,1991-12-20,205405498,"Released",7.5,502
11565,40000000,"en",17.61292,2006-01-26,138259062,"Released",5.4,371
6073,57000000,"en",21.021809,2001-03-01,147845033,"Released",5.8,441
16996,20000000,"en",52.571674,2009-03-11,136267476,"Released",6.1,1350
193610,40000000,"en",34.519636,2014-04-16,196781193,"Released",6.2,1437
19912,40000000,"en",32.478077,2009-08-26,186167139,"Released",5.4,831
296098,40000000,"en",48.445978,2015-10-15,165478348,"Released",7.2,2583
8007,40000000,"en",24.012986,2001-11-17,91753202,"Released",6,457
32823,40000000,"en",17.869443,2010-06-04,90029656,"Released",5.9,612
4380,50000000,"en",14.231899,2004-10-15,170128460,"Released",5.9,297
11551,40000000,"en",23.088571,1998-07-10,54682547,"Released",6.2,511
10336,40000000,"en",19.833664,1997-07-31,87840042,"Released",5,336
11362,35000000,"en",26.595983,2002-01-23,75395048,"Released",7.3,453
50348,40000000,"en",26.072228,2011-03-17,85412898,"Released",7,902
48138,30000000,"en",38.643914,2011-02-16,130786397,"Released",6.5,1265
1124,40000000,"en",74.440708,2006-10-19,109676311,"Released",8,4391
227159,42000000,"en",82.185281,2014-11-26,107670357,"Released",6.1,1536
68179,40000000,"en",18.14218,2013-02-14,74597643,"Released",5.7,332
1579,40000000,"en",41.570047,2006-12-07,120175290,"Released",7.3,1221
708,40000000,"en",23.331459,1987-06-29,191185897,"Released",6.2,440
34851,40000000,"en",47.649554,2010-07-03,126248813,"Released",6,1206
9930,0,"en",7.519433,1986-06-18,0,"Released",5.8,51
1586,40000000,"en",32.908414,2004-03-12,92913171,"Released",6.4,972
2044,40000000,"en",29.88736,2006-06-16,114830111,"Released",6.5,670
9913,43000000,"en",29.105407,2005-07-29,91974818,"Released",6.4,573
71864,0,"en",16.394452,2012-08-15,51854875,"Released",6.5,386
10761,40000000,"en",19.574774,2008-05-02,84601681,"Released",6,394
209451,40000000,"en",14.199933,2014-06-05,67347013,"Released",6.8,255
11975,40000000,"en",12.229516,1997-11-18,45916769,"Released",6.7,235
4970,40000000,"en",27.303608,2003-11-21,141591324,"Released",5.8,629
